"CV-78K0R1","R20UT2140E","3.2.4","bit type variables"
"CV-CCV10","C11","6.5.4","2"
"CV-CCV10","CERT-C","MSC40-C",""
"CV-CCV10","MISRA-C","8.1","1"
"CV-CCV9","C11","6.5.4","4"
"CV-CCV9","CERT-C","MSC40-C",""
"CV-CCV9","MISRA-C","8.1","1"
"CV-CDE1","C11","6.7.2.2","2"
"CV-CDE1","CERT-C","MSC40-C",""
"CV-CDE1","MISRA-C","8.1","1"
"CV-CDI4","C11","6.7.9","2"
"CV-CDI4","CERT-C","MSC40-C",""
"CV-CDI4","MISRA-C","8.1","1"
"CV-CDI5","C11","6.7.9","2"
"CV-CDI5","C11","6.7.9","9"
"CV-CDI5","CERT-C","MSC40-C",""
"CV-CDI5","MISRA-C","8.1","1"
"CV-CDT3","C11","6.7.2.1","3"
"CV-CDT3","CERT-C","MSC40-C",""
"CV-CDT3","MISRA-C","8.1","1"
"CV-CDT4","C11","6.7.2.1","3"
"CV-CDT4","CERT-C","MSC40-C",""
"CV-CDT4","MISRA-C","8.1","1"
"CV-CDT5","C11","6.7.2.1","4"
"CV-CDT5","CERT-C","MSC40-C",""
"CV-CDT5","MISRA-C","8.1","1"
"CV-CEA3","C11","6.5.6","2"
"CV-CEA3","CERT-C","MSC40-C",""
"CV-CEA3","MISRA-C","8.1","1"
"CV-CEA4","C11","6.5.6","3"
"CV-CEA4","CERT-C","MSC40-C",""
"CV-CEA4","MISRA-C","8.1","1"
"CV-CEA7","C11","6.5.6","2"
"CV-CEA7","CERT-C","MSC40-C",""
"CV-CEA7","MISRA-C","8.1","1"
"CV-CEA8","C11","6.5.6","3"
"CV-CEA8","CERT-C","MSC40-C",""
"CV-CEA8","MISRA-C","8.1","1"
"CV-CEA9","C11","6.5.6","3"
"CV-CEA9","CERT-C","MSC40-C",""
"CV-CEA9","MISRA-C","8.1","1"
"CV-CEB1","C11","6.5.7","2"
"CV-CEB1","CERT-C","INT13-C",""
"CV-CEB1","MISRA-C","8.1","1"
"CV-CEB10","C11","6.5.11","2"
"CV-CEB10","CERT-C","MSC40-C",""
"CV-CEB10","MISRA-C","8.1","1"
"CV-CEB11","C11","6.5.12","2"
"CV-CEB11","CERT-C","MSC40-C",""
"CV-CEB11","MISRA-C","8.1","1"
"CV-CEB5","C11","6.5.7","2"
"CV-CEB5","CERT-C","INT13-C",""
"CV-CEB5","MISRA-C","8.1","1"
"CV-CEB9","C11","6.5.10","2"
"CV-CEB9","CERT-C","MSC40-C",""
"CV-CEB9","MISRA-C","8.1","1"
"CV-CEM3","C11","6.5.2.3","1"
"CV-CEM3","CERT-C","MSC40-C",""
"CV-CEM3","MISRA-C","8.1","1"
"CV-CER1","C11","6.5.3.2","1"
"CV-CER1","CERT-C","MSC40-C",""
"CV-CER1","MISRA-C","8.1","1"
"CV-CER2","C11","6.5.3.2","1"
"CV-CER2","CERT-C","MSC40-C",""
"CV-CER2","MISRA-C","8.1","1"
"CV-CER5","C11","6.5.3.2","1"
"CV-CER5","CERT-C","MSC40-C",""
"CV-CER5","MISRA-C","8.1","1"
"CV-CER6","C11","6.5.3.2","2"
"CV-CER6","CERT-C","MSC40-C",""
"CV-CER6","MISRA-C","8.1","1"
"CV-CERL5","C11","6.5.8","2"
"CV-CERL5","CERT-C","MSC40-C",""
"CV-CERL5","MISRA-C","8.1","1"
"CV-CERL8","C11","6.5.9","2"
"CV-CERL8","CERT-C","MSC40-C",""
"CV-CERL8","MISRA-C","8.1","1"
"CV-CERL9","C11","6.5.9","2"
"CV-CERL9","CERT-C","MSC40-C",""
"CV-CERL9","MISRA-C","8.1","1"
"CV-CMW2","C11","6.5.16","2"
"CV-CMW2","CERT-C","MSC40-C",""
"CV-CMW2","MISRA-C","8.1","1"
"CV-CTI2","C11","6.7.6.2","1"
"CV-CTI2","CERT-C","MSC40-C",""
"CV-CTI2","MISRA-C","8.1","1"
"CV-CTI3","C11","6.7.2.1","4"
"CV-CTI3","CERT-C","MSC40-C",""
"CV-CTI3","MISRA-C","8.1","1"
"CV-CTI5","C11","6.7.2.1","2"
"CV-CTI5","CERT-C","MSC40-C",""
"CV-CTI5","MISRA-C","8.1","1"
"CV-EFC1","C11","6.5.2.2","2"
"CV-EFC1","CERT-C","MSC40-C",""
"CV-EFC1","MISRA-C","8.1","1"
"CV-FD1","C11","6.7","3"
"CV-FD1","CERT-C","MSC40-C",""
"CV-FD1","MISRA-C","8.1","1"
"CV-FD2","C11","6.7.6.3","1"
"CV-FD2","CERT-C","MSC40-C",""
"CV-FD2","MISRA-C","8.1","1"
"CV-FD3","C11","6.7.6.3","4"
"CV-FD3","CERT-C","MSC40-C",""
"CV-FD3","MISRA-C","8.1","1"
"CV-SSA1","C11","6.7.10","2"
"CV-SSA1","CERT-C","MSC40-C",""
"CV-SSA1","MISRA-C","8.1","1"
"CV-SSA2","C11","6.7.10","2"
"CV-SSA2","CERT-C","MSC40-C",""
"CV-SSA2","MISRA-C","8.1","1"
"CV-TAL1","C11","6.5.3.4","1"
"CV-TAL1","CERT-C","MSC40-C",""
"CV-TAL1","MISRA-C","8.1","1"
"CV-TCANON1","C11","6.7.5","4"
"CV-TCANON1","CERT-C","MSC40-C",""
"CV-TCANON1","MISRA-C","8.1","1"
"CV-TCANON3","C11","6.9.1","3"
"CV-TCANON3","CERT-C","MSC40-C",""
"CV-TCANON3","MISRA-C","8.1","1"
"CV-TCANON4","C11","6.7.2","2"
"CV-TCANON4","CERT-C","MSC40-C",""
"CV-TCANON4","MISRA-C","8.1","1"
"CV-TDG10","C11","6.7","4"
"CV-TDG10","CERT-C","MSC40-C",""
"CV-TDG10","MISRA-C","8.1","1"
"CV-TDG13","C11","6.9","3"
